review_text,star_rating,domain,restaurant_name
"So don't use the app. Because that is a scam, for them to not send you your order properly, or miss your order, or not even send you anything.There is no option in the app to complain. If you try very hard you can sometimes get to a spot where they'll try to let you but then they will stymie you by sending you in a circular pattern.They don't want to hear your complaints. And I don't want to do anything about them. I have the receipts to prove this",1,restaurant,Subway
I went into the store to buy a small bowl of steak and chicken for my sick dog that hadn't eaten in 3 days so I started by trying to explain I have a sick dog that hadn't eaten in 3 days and I needed a small bowl of something she could eat the lady rudely ask me do you have money to pay for it I replied yes what do I look homeless or something she said well then let's pay for it first I said ok is that new or different she says it will just be easier for me is there a problem mind you she said this really crappy time I said yes there is a problem your the problem and I will see to it that you get fired and I left without buying anything now I'm trying to reach corperate to file a complaint against this woman who treated me like crap like I couldn't pay for what I wanted to order and I can't even get in touch with corperate. I have never been treated like this from anybody and by the way no I'm not homeless I own the business across the street from this location,1,restaurant,Subway
"Online order decided to change my location and the order went to the wrong store.  I tried to contact the store and the lady on the phone told me, ""That sucks"" and hung up the phone.I will never ever order from Subway again.  When the online order system screws up, they refuse to refund the customer.",1,restaurant,Subway
"All I wanted was olives.Warm olives.Chopped into perfect little rings of happiness.But no... they refused to add six extra portions. And then the guy told me to ""just buy a jar"".A jar?? Cold?? In oil??I'm ordering a sandwich, not stocking a pantry!For an olive lover like me, this was heartbreaking. Truly a Greek tragedy.",1,restaurant,Subway
"I don’t know what’s going on at this Subway, but clearly accuracy is not part of the training program. I placed a very simple order. They managed to get it wrong. Fine, mistakes happen. I went back, explained the issue politely, and expected a quick fix.Somehow, unbelievably, they got it wrong again.At that point it became obvious this wasn’t an accident but a complete lack of attention and basic competence. I wasted time, money, and patience on something that should take less than five minutes. If an order with clear instructions can’t survive two attempts, that says everything.",1,restaurant,Subway
"Very disappointed in the sandwich. Bread was so hard and dry I could eat the last 2 inches on either end of the sandwich. There wasn't hardly any meat in it (I literally had to open it up and look for it) and veggies were wrong. The bread was even smaller than usual, it was really small. What a joke. I will have a hard time ever going back to Subway after this.",1,restaurant,Subway
"I ordered 2 sandwiches for dinner , when I went to unwrap the sandwich I noticed the bread looked different and very much like a hot dog bun.When I bit into the sandwhich it was very difficult to bite into.One of the things that kept subway on our list was the bread and this was not it.I called the store to find out if it was toasted an the clerk informed me the bread has been changed! Bad call subway you lost this customer!",1,restaurant,Subway
"They started a new promo, so they eliminated all my points. I can't wait for the day SUBWAY fails miserably. I know people will lose jobs, and I feel bad. The hedge fund that purchased SUBWAY sucks. All they care about is bottom line. The food is ultra processed, and additives that are not safe to your body. The only thing SUBWAY is safe to is your toilet. 2 companies that are abusing the consumer is SUBWAY, and DOMINOS. Hopefully these 2 fade away like the old K-MART.",1,restaurant,Subway
"Rude and argumentative staff, food quality terrible",1,restaurant,Subway
"I am not a regular at Subway but was feeling festive I wanted to try the christmas sub as advertisment made it look amazing. Not the case in real life. Mines looked a mess. I was already concerned after watching the construction of the sub. It resembled a roll in stuffing paste which had been dropped from a height. It was also warm on outside, cold in middle, it was also missing some of the main ingredients, as well as taste. Very poor attempt and was very disapointed.",1,restaurant,Subway
